code,valo_260326,prix_arrondi_260326,ecart_260326,profil_260326,source_prix_260326,source_ecart_260326,valo_260306,prix_arrondi_260306,ecart_260306,profil_260306,source_prix_260306,source_ecart_260306,delta_ecart_premier_vs_second,note
101000,99509.730000,99509.730000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",100295.990000,100295.990000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
101001,101233.670000,101233.670000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",101208.940000,101208.940000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
101005,100111.970000,100111.980000,0.010000,FIX/ZC/AN/AN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/ZC/AN/AN/R/R/BSF",100615.050000,100614.970000,-0.080000,FIX/ZC/AN/AN/R/R/BSF,table Valorisation,a corriger (table Valorisation) | FIX/ZC/AN/AN/R/R/BSF,-0.090000,OK ref_date | ecart autre date
101006,100577.680000,100577.680000,0.000000,FIX/ZC/AN/AN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/ZC/AN/AN/R/R/BSF",100835.690000,100835.590000,-0.100000,FIX/ZC/AN/AN/R/R/BSF,table Valorisation,a corriger (table Valorisation) | FIX/ZC/AN/AN/R/R/BSF,-0.100000,OK ref_date | ecart autre date
101008,100887.280000,100887.280000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",100882.640000,100882.640000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
101009,100391.810000,100391.810000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",100600.460000,100600.460000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
101010,100792.160000,100792.160000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",100791.440000,100791.440000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
101011,99714.880000,99714.880000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",100243.240000,100243.240000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
101012,100323.660000,100323.660000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",100548.750000,100548.750000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
101013,99083.110000,99083.110000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",99931.610000,99931.610000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
101015,99067.770000,99067.770000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",99915.700000,99915.700000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
101018,99398.220000,99398.220000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",100270.970000,100270.970000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
101020,99902.670000,99902.670000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",100488.310000,100488.310000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
101021,100594.510000,100594.510000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",100634.420000,100634.420000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
101022,100292.040000,100292.040000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",100567.860000,100567.860000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
101023,99320.480000,99320.480000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",99942.350000,99942.350000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
101029,100268.410000,100268.410000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",100350.540000,100350.540000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
101030,99696.150000,99696.150000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",100040.650000,100040.650000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
101031,99869.590000,99869.590000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",99959.560000,99959.560000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
