valuation_date,code,valo_manar
2026-01-02,9572,104551.74
2026-01-02,9576,104162.36
2026-01-02,9580,16699.36
2026-01-02,9626,104924.94
2026-01-02,9686,101349.82
2026-01-02,9689,100126.39
2026-01-02,9690,100122.54
2026-01-02,9703,100802.09
2026-01-02,9707,101330.95
2026-01-02,9714,100905.72
2026-01-02,9744,100533.79
2026-01-02,9755,100137.47
2026-01-02,9756,100141.86
2026-01-02,9757,100146.25
2026-01-02,100948,76870.9
2026-01-02,100993,101067.61
2026-01-02,100995,101098.36
2026-01-02,101005,100510.56
2026-01-02,101006,100615.87
2026-01-02,201657,100168.31
2026-01-02,201868,100814.26
