code,date_valo,prix_manar,prix_moteur_sql,ecart,abs_ecart,classification_finale,meilleur_scenario,reduction_pct,reste_apres_choc,type_titre,methode_valo,cause_probable
9714,2026-01-02,100905.72,100905.125057,0.5949430000036955,0.5949430000036955,Partiellement courbe,G2_joint_moins1bp,91.8185,-0.048675,amort/ATP/METH_ZC,ZC,Écart Manar hors tolérance (-0.5949). Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-01-02
9744,2026-01-02,100533.79,100533.2246,0.5653999999922235,0.5653999999922235,Probablement pas courbe seule,base_sql,0.0000,0.565400,amort/ATP/METH_ZC,ZC,Écart Manar hors tolérance (-0.5654). Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-01-02
9755,2026-01-02,100137.47,100137.4706,-0.0005999999993946403,0.0005999999993946403,Dans la tolérance (sensibilité),base_sql,0.0000,-0.000600,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-01-02
9756,2026-01-02,100141.86,100141.8618,-0.001799999998183921,0.001799999998183921,Dans la tolérance (sensibilité),base_sql,0.0000,-0.001800,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-01-02
9757,2026-01-02,100146.25,100146.2513,-0.0013000000035390258,0.0013000000035390258,Dans la tolérance (sensibilité),base_sql,0.0000,-0.001300,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-01-02
100844,2026-03-06,101829.36,101829.357688,0.0023119999968912452,0.0023119999968912452,Dans la tolérance (sensibilité),base_sql,0.0000,0.002312,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
100856,2026-03-06,101226.47,101226.468723,0.001277000003028661,0.001277000003028661,Dans la tolérance (sensibilité),base_sql,0.0000,0.001277,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
100899,2026-03-06,103153.57,103153.565214,0.004786000004969537,0.004786000004969537,Dans la tolérance (sensibilité),base_sql,0.0000,0.004786,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
100902,2026-03-06,102677.53,102677.526561,0.0034389999927952886,0.0034389999927952886,Dans la tolérance (sensibilité),base_sql,0.0000,0.003439,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
100904,2026-03-06,103794.42,103794.417831,0.0021689999994123355,0.0021689999994123355,Dans la tolérance (sensibilité),base_sql,0.0000,0.002169,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
100905,2026-03-06,102559.83,102559.830881,-0.0008809999999357387,0.0008809999999357387,Dans la tolérance (sensibilité),base_sql,0.0000,-0.000881,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
100925,2026-03-06,33706.09,33705.799,0.29099999999743886,0.29099999999743886,Principalement courbe,pil_prog_inf_CT_164m1,98.3505,0.004800,amort/ATP/METH_ZC,ZC,Écart Manar hors tolérance (-0.2910). Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
100928,2026-03-06,101163.63,101163.629321,0.0006790000043110922,0.0006790000043110922,Dans la tolérance (sensibilité),base_sql,0.0000,0.000679,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
100931,2026-03-06,103180.1,103180.100205,-0.0002049999893642962,0.0002049999893642962,Dans la tolérance (sensibilité),base_sql,0.0000,-0.000205,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
100937,2026-03-06,69151.64,69151.634,0.005999999993946403,0.005999999993946403,Dans la tolérance (sensibilité),base_sql,0.0000,0.006000,amort/ATP/METH_ZC,ZC,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
100941,2026-03-06,103026.12,103026.118653,0.0013469999976223335,0.0013469999976223335,Dans la tolérance (sensibilité),base_sql,0.0000,0.001347,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
100945,2026-03-06,102758.1,102758.101089,-0.0010889999975915998,0.0010889999975915998,Dans la tolérance (sensibilité),base_sql,0.0000,-0.001089,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
